batch_id,timestamp,temperature,conveyor_speed,hold_time,batch_size,material_type,hour_of_day,operator_exp,temp_speed_product,temp_deviation,speed_deviation,hold_per_kg,shift,hours_into_shift,quality_score,yield_pct,performance_pct,energy_kwh,co2_kg,energy_per_kg,fault_type
B0000,2025-09-01 06:00:00,179.0,77.4,17.3,378.0,0,15,1,13854.6,4.0,2.4,0.045767,1,1,90.6,94.7,93.0,29.8,24.44,0.078836,normal
B0001,2025-09-01 08:25:33,179.3,92.6,20.6,408.0,2,16,1,16603.2,3.7,17.6,0.05049,1,2,84.0,86.6,85.7,40.8,33.46,0.1,normal
B0002,2025-09-01 10:11:45,182.0,62.1,17.7,568.0,0,15,2,11302.2,1.0,12.9,0.031162,1,1,93.7,93.7,89.5,29.2,23.94,0.051408,normal
B0004,2025-09-01 10:56:10,187.1,79.5,18.3,605.0,1,14,2,14874.4,4.1,4.5,0.030248,1,0,89.0,93.3,92.7,34.5,28.29,0.057025,normal
B0003,2025-09-01 11:41:38,184.7,74.8,12.2,521.0,2,7,1,13815.6,1.7,0.2,0.023417,0,1,94.6,94.3,91.8,31.7,25.99,0.060845,normal
B0005,2025-09-01 12:10:11,179.4,75.9,22.2,499.0,0,9,1,13616.5,3.6,0.9,0.044489,0,3,92.4,94.6,94.1,35.4,29.03,0.070942,normal
B0006,2025-09-01 12:31:21,189.7,74.2,17.9,431.0,1,6,1,14075.7,6.7,0.8,0.041531,0,0,91.0,93.2,92.2,33.9,27.8,0.078654,normal
B0010,2025-09-01 16:18:31,175.0,60.0,15.5,578.0,0,15,0,10500.0,8.0,15.0,0.026817,1,1,82.9,86.8,83.89999999999998,28.8,23.62,0.049827,normal
B0008,2025-09-01 21:12:48,182.9,76.6,13.8,377.0,0,11,2,14010.1,0.1,1.6,0.036605,0,5,99.5,96.8,96.9,30.5,25.01,0.080902,normal
B0007,2025-09-01 22:05:41,181.8,65.9,21.1,483.0,0,11,2,11980.6,1.2,9.1,0.043685,0,5,89.8,93.7,92.1,33.0,27.06,0.068323,normal
B0013,2025-09-01 23:08:26,181.7,75.4,20.8,362.0,1,7,1,13700.2,1.3,0.4,0.057459,0,1,93.6,95.7,92.9,36.1,29.6,0.099724,normal
B0014,2025-09-01 23:49:05,183.3,76.6,22.4,471.0,0,15,2,14040.8,0.3,1.6,0.047558,1,1,94.8,97.4,94.7,34.3,28.13,0.072824,wet_material
B0009,2025-09-02 00:33:32,179.6,69.7,17.9,410.0,0,11,0,12518.1,3.4,5.3,0.043659,0,5,89.3,93.8,90.7,29.8,24.44,0.072683,calibration_needed
B0015,2025-09-02 01:07:35,185.3,82.5,20.8,402.0,2,13,0,15287.3,2.3,7.5,0.051741,0,7,90.0,88.3,87.9,38.0,31.16,0.094527,normal
